sigla_tipo,numero,ano,ementa,votada_plenario,cod_tipo,id,casa,tema,autor,link
PL,18,2019,"Estabelece princípios e regras específicos para barragens destinadas à acumulação ou à disposição final ou temporária de rejeitos e resíduos industriais ou de mineração e a barragens de água ou líquidos associados a processos industriais ou de mineração, independentemente do porte e do potencial poluidor, em caráter complementar à Política Nacional de Segurança de Barragens (PNSB), instituída pela Lei Federal nº 12.334, de 20 de setembro de 2010.",1,139,2190446,camara,Meio Ambiente e Desenvolvimento Sustentável,Alessandro Molon; Aliel Machado; Bira do Pindaré; Danilo Cabral; Denis Bezerra; Felipe Rigoni; João H. Campos; Liziane Bayer; Rodrigo Agostinho; Rosana Valle,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2190446
PL,41,2019,Dispõe sobre a rotulagem de produtos desenvolvidos a partir de testes em animais.,0,139,2190474,camara,Meio Ambiente e Desenvolvimento Sustentável,Fred Costa,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2190474
PL,42,2019,Dispõe sobre a obrigatoriedade de publicação de alerta em embalagens de cosméticos de todos os gêneros sobre a realização ou não de testes em animais na fase de desenvolvimento e acompanhamento do respectivo produto,0,139,2190475,camara,Meio Ambiente e Desenvolvimento Sustentável,Fred Costa,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2190475
PL,48,2019,Cria o serviço de Disque Denúncia de Maus Tratos e Abandono de Animais.,0,139,2190483,camara,Meio Ambiente e Desenvolvimento Sustentável,Fred Costa,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2190483
PL,49,2019,Dispõe sobre o abate humanitário de animais em todo o território nacional e dá outras providências.,0,139,2190484,camara,"Agricultura, Pecuária, Pesca e Extrativismo",Fred Costa,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2190484
PL,50,2019,"Dispõe sobre a obrigação de petshops, clínicas veterinárias e estabelecimentos congêneres a fixarem cartazes que facilitem e incentivem a adoção de animais e dá outras providências.",0,139,2190485,camara,Meio Ambiente e Desenvolvimento Sustentável,Fred Costa,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2190485
PL,51,2019,Dispõe sobre os serviços de higienização e outros serviços que impliquem a guarda de animais de estimação.,0,139,2190486,camara,Meio Ambiente e Desenvolvimento Sustentável,Fred Costa,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2190486
PL,52,2019,"Ficam proibidos, em todo o território nacional, zoológicos, aquários e parques públicos e privados que exponham animais silvestres.",0,139,2190487,camara,Meio Ambiente e Desenvolvimento Sustentável,Fred Costa,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2190487
PL,53,2019,"Altera a Lei nº 13.105, de 16 de março de 2015 (Código de Processo Civil), para excluir os animais domésticos da definição de semoventes, para fins de penhorabilidade.",0,139,2190488,camara,Meio Ambiente e Desenvolvimento Sustentável,Fred Costa,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2190488
PL,55,2019,"Torna obrigatória a exposição nos rótulos das rações animais de todos os nutrientes contidos em suas composições, com as respectivas quantidades.",0,139,2190490,camara,Meio Ambiente e Desenvolvimento Sustentável,Fred Costa,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2190490
PL,56,2019,Regulamenta a profissão de Técnico em Resgate de Animais.,0,139,2190491,camara,Meio Ambiente e Desenvolvimento Sustentável,Fred Costa,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2190491
PL,57,2019,"Dispõe sobre a proibição da comercialização de animais em pet shops, lojas de rações, lojas agropecuárias e similares, e dá outras providências.",0,139,2190492,camara,Meio Ambiente e Desenvolvimento Sustentável,Fred Costa,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2190492
PL,58,2019,"Acrescenta art. 32-A na Lei nº 9.605, de 12 de fevereiro de 1998, para definir o crime de criação de animais domésticos, ou domesticados, nativos ou exóticos, sem o devido licenciamento dos órgãos responsáveis para fins comerciais, em condições inadequadas e do aumento da pena.",0,139,2190493,camara,Meio Ambiente e Desenvolvimento Sustentável,Fred Costa,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2190493
PL,62,2019,"Dispõe sobre a guarda dos animais de estimação nos casos de dissolução litigiosa da sociedade e do vínculo conjugal entre seus possuidores, e dá outras providências.",0,139,2190495,camara,Meio Ambiente e Desenvolvimento Sustentável,Fred Costa,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2190495
PL,61,2019,"Dispõe sobre a proibição na convenção, regulamento ou regimento interno dos condomínios existentes em todo território nacional apresentar clausulas restritivas sobre a permanência de animais domésticos em suas unidades autônomas.",0,139,2190496,camara,Meio Ambiente e Desenvolvimento Sustentável,Fred Costa,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2190496
PL,60,2019,"Determina o registro e a identificação eletrônica de cães, gatos, equinos, muares e asininos por seus proprietários e altera a Lei nº 9.605, de 12 de fevereiro de 1998, que ""dispõe sobre as sanções penais e administrativas derivadas de condutas e atividades lesivas ao meio ambiente"", para tipificar o abandono de animais em vias públicas.",0,139,2190497,camara,Meio Ambiente e Desenvolvimento Sustentável,Fred Costa,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2190497
PL,59,2019,"Estabelece a obrigação dos estabelecimentos veterinários, quando constatarem indícios de maus tratos nos animais atendidos, comunicar imediatamente o fato à Polícia Judiciária.",0,139,2190498,camara,Meio Ambiente e Desenvolvimento Sustentável,Fred Costa,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2190498
PL,108,2019,"Altera a Lei nº 12.651, de 25 de maio de 2012, que dispõe sobre a proteção da vegetação nativa, reclassificando os apicuns e salgados como Área de Presevação Permanente (APP).",0,139,2190563,camara,Meio Ambiente e Desenvolvimento Sustentável,Rodrigo Agostinho,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2190563
PL,116,2019,"Altera o art. 22 da Lei n. 9.985, de 18 de julho de 2000, que institui o Sistema Nacional de Unidades de Conservação da Natureza.",0,139,2190569,camara,Meio Ambiente e Desenvolvimento Sustentável,Renata Abreu,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2190569
PL,148,2019,"Dispõe sobre a conservação de espécimes de erva-mate (Ilex paraguariensis) cadastrados e identificados como árvores matrizes produtoras de sementes e institui a política de incentivo à pesquisa, seleção e melhoramento genético da erva-mate.",0,139,2190621,camara,"Agricultura, Pecuária, Pesca e Extrativismo",Heitor Schuch,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2190621
PL,149,2019,"Institui a Política Nacional de Incentivo à Agricultura de Precisão visando maior eficiência na aplicação de recursos e insumos de produção, de forma a diminuir o desperdício, reduzir os custos de produção, aumentar a produtividade, a lucratividade e a garantir a sustentabilidade ambiental.",0,139,2190623,camara,"Agricultura, Pecuária, Pesca e Extrativismo",Heitor Schuch,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2190623
PL,153,2019,"Altera a Lei nº 6.938, de 31 de agosto de 1981, que dispõe sobre a Política Nacional do Meio Ambiente, para prever requisitos para a concessão ou renovação da licença ambiental.",0,139,2190630,camara,Meio Ambiente e Desenvolvimento Sustentável,José Nelto,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2190630
PL,43,2019,Institui Hospitais Públicos Veterinários e Postos de Saúde para atendimento de animais e dá outras  providências.,0,139,2190647,camara,Meio Ambiente e Desenvolvimento Sustentável,Fred Costa,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2190647
PL,45,2019,Dispõe sobre a microchipagem de animais domésticos e dá outras providências.,0,139,2190679,camara,Meio Ambiente e Desenvolvimento Sustentável,Fred Costa,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2190679
PL,47,2019,Dispõe sobre o monitoramento dos serviços comerciais de banho e tosa de animais domésticos e de pequeno e grande porte.,0,139,2190681,camara,Meio Ambiente e Desenvolvimento Sustentável,Fred Costa,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2190681
PL,46,2019,Proíbe a exposição e venda de animais por estabelecimentos que comercializam gêneros alimentícios.,0,139,2190682,camara,Meio Ambiente e Desenvolvimento Sustentável,Fred Costa,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2190682
PL,184,2019,"Altera a Lei nº 12.334, de 2010, que dispõe sobre a Política Nacional de Segurança de Barragens.",0,139,2190690,camara,Meio Ambiente e Desenvolvimento Sustentável,Igor Timo,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2190690
PL,269,2019,"Altera a Lei nº 9.605, de 12 fevereiro de 1998, a fim de agravar a pena do crime de maus-tratos de animais e tipificar o crime de abandono de animais.",0,139,2190779,camara,Meio Ambiente e Desenvolvimento Sustentável,Célio Studart,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2190779
