sigla_tipo,numero,ano,ementa,id,casa,tema,autor,link
PDL,482,2019,"Aprova o ato que outorga autorização à Associação de Radiodifusão Comunitária de Novo Destino para executar serviço de radiodifusão comunitária no Município de Milhã, Estado do Ceará.",137746,senado,Nao especificado, Câmara dos Deputados,https://www25.senado.leg.br/web/atividade/materias/-/materia/137746
PL,2707,2019,"Altera a Lei nº 12.334, de 20 de setembro de 2010, que estabelece a Politica Nacional de Segurança de Barragens, para obrigar o empreendedor de barragens para fins de disposição final ou temporária de rejeitos de mineração a contratar auditoria externa.",136643,senado,Meio ambiente,Senadora Rose de Freitas (PODE/ES),https://www25.senado.leg.br/web/atividade/materias/-/materia/136643
PRS,4,2019,Institui o Grupo Parlamentar Brasil-Reino Unido.,135341,senado,Nao especificado,Senador Rodrigo Pacheco (DEM/MG),https://www25.senado.leg.br/web/atividade/materias/-/materia/135341
PL,690,2019,Dispõe sobre a concessão do Selo Estabelecimento Sustentável.,135207,senado,Meio ambiente,Senador Jorginho Mello (PR/SC),https://www25.senado.leg.br/web/atividade/materias/-/materia/135207
PL,2511,2019,Altera os limites da Reserva Biológica de Santa Isabel em Sergipe.,136493,senado,Meio ambiente,Senador Alessandro Vieira (CIDADANIA/SE),https://www25.senado.leg.br/web/atividade/materias/-/materia/136493
PDL,28,2019,"Exclui da Terra Indígena São Marcos a área urbana da sede do Município de Pacaraima, no Estado de Roraima.",135175,senado,Nao especificado,Senador Mecias de Jesus (PRB/RR),https://www25.senado.leg.br/web/atividade/materias/-/materia/135175
PRS,47,2019,"Institui, no âmbito do Senado Federal, a Comenda Cora Coralina, destinada a homenagear escritores, escritoras, e artistas de destaque na área de cultura.",136781,senado,Nao especificado,Senadora Rose de Freitas (PODE/ES),https://www25.senado.leg.br/web/atividade/materias/-/materia/136781
PRS,38,2019,"Institui, no âmbito do Senado Federal, a Frente Parlamentar de Defesa das Fronteiras Brasileiras.",136504,senado,Nao especificado,Senador Jayme Campos (DEM/MT),https://www25.senado.leg.br/web/atividade/materias/-/materia/136504
MPV,884,2019,"Altera a Lei nº 12.651, de 25 de maio de 2012, que dispõe sobre a proteção da vegetação nativa e dá outras providências.",137319,senado,Meio ambiente, Presidência da República,https://www25.senado.leg.br/web/atividade/materias/-/materia/137319
PL,1496,2019,"Dispõe sobre aplicações alternativas e sustentáveis aos resíduos e rejeitos decorrentes da exploração mineral, altera a Lei nº 12.305, de 2 de agosto de 2010, e dá outras providências.",135717,senado,Meio ambiente,Senador Jaques Wagner (PT/BA),https://www25.senado.leg.br/web/atividade/materias/-/materia/135717
PDL,251,2019,"Aprova o ato que outorga autorização à Associação Assistencial e de Radiodifusão Comunitária Maracangalha FM para executar serviço de radiodifusão comunitária no Município de São Sebastião do Passé, Estado da Bahia.",136697,senado,Nao especificado,Câmara dos Deputados,https://www25.senado.leg.br/web/atividade/materias/-/materia/136697
PL,754,2019,"Altera dispositivos da Lei nº 12.512, de 14 de outubro de 2011, para ampliar a relação de beneficiários do Programa de Apoio à Conservação Ambiental.",135240,senado,Meio ambiente,Senador Chico Rodrigues (DEM/RR),https://www25.senado.leg.br/web/atividade/materias/-/materia/135240
PRS,45,2019,Denomina o espaço do Restaurante dos Senadores como “Restaurante Senador Carlos Wilson “.,136722,senado,Nao especificado,Senador Humberto Costa (PT/PE),https://www25.senado.leg.br/web/atividade/materias/-/materia/136722
PL,3511,2019,"Altera a Lei nº 12.651, de 25 de maio de 2012, para dispor sobre o Programa de Regularização Ambiental (PRA) e o Cadastro Ambiental Rural (CAR).",137294,senado,Meio ambiente,Senador Luis Carlos Heinze (PP/RS),https://www25.senado.leg.br/web/atividade/materias/-/materia/137294
PRS,15,2019,"Altera a Resolução do Senado Federal nº 93, de 27 de novembro de 1970 - Regimento Interno do Senado Federal, para estabelecer a votação por maioria absoluta nas eleições da Mesa.",135486,senado,Nao especificado,Senador Rodrigo Pacheco (DEM/MG),https://www25.senado.leg.br/web/atividade/materias/-/materia/135486
PRS,6,2019,Institui o Grupo Parlamentar Brasil-Estados Unidos da América.,135355,senado,Nao especificado,Senador Roberto Rocha (PSDB/MA),https://www25.senado.leg.br/web/atividade/materias/-/materia/135355
PDL,412,2019,"Aprova o ato que outorga autorização à Associação Comunitária de Desenvolvimento Cultural e Artístico de Santa Lúcia para executar serviço de radiodifusão comunitária no Município de Santa Lúcia, Estado do Paraná.",137377,senado,Nao especificado, Câmara dos Deputados,https://www25.senado.leg.br/web/atividade/materias/-/materia/137377
