id_principal,id_documento,casa,nome_autor,partido,uf,tipo_autor,id_autor
134695,7889694,senado,Senador José Serra ,PSDB,SP,senador,90
134695,7940730,senado,Senador Wellington Fagundes ,PR,MT,senador,1173
134695,7944465,senado,Senador Fabiano Contarato ,REDE,ES,senador,5953
128221,5065182,senado,Senador Alvaro Dias ,PV,PR,senador,945
128221,7753672,senado,Senador Ronaldo Caiado ,DEM,GO,senador,456
128221,7880026,senado,Senador Humberto Costa ,PT,PE,senador,5008
128221,7959588,senado,Senadora Kátia Abreu ,PDT,TO,senador,1249
128221,7965507,senado,Senadora Kátia Abreu ,PDT,TO,senador,1249
128221,8010815,senado,Senadora Kátia Abreu ,PDT,TO,senador,1249
137437,7998280,senado,Senador Alessandro Vieira ,CIDADANIA,SE,senador,5982
137437,8005965,senado,Senador Alessandro Vieira ,CIDADANIA,SE,senador,5982
137437,8013400,senado,Senador Alessandro Vieira ,CIDADANIA,SE,senador,5982
137437,8012552,senado,Senador Luis Carlos Heinze ,PP,RS,senador,1186
137437,8023535,senado,Senador Alessandro Vieira ,CIDADANIA,SE,senador,5982
137437,8028029,senado,Senador Alessandro Vieira ,CIDADANIA,SE,senador,5982
140314,8061163,senado,Senador Fabiano Contarato ,REDE,ES,senador,5953
140546,8871356,senado,Senador Fabiano Contarato ,REDE,ES,senador,5953
140546,8888523,senado,Senador Telmário Mota ,PROS,RR,senador,5535
140546,8889130,senado,Senador Fabiano Contarato ,REDE,ES,senador,5953
140546,8888894,senado,Senadora Rose de Freitas ,PODEMOS,ES,senador,2331
140546,8888959,senado,Senador Jean Paul Prates ,PT,RN,senador,5627
140546,8889070,senado,Senador Fabiano Contarato ,REDE,ES,senador,5953
142690,8885499,senado,Líder do CIDADANIA Eliziane Gama ,CIDADANIA,MA,senador,5718
142690,8885504,senado,Senador Antonio Anastasia ,PSD,MG,senador,5529
142690,8885506,senado,Líder do PT Rogério Carvalho ,PT,SE,senador,5352
142690,8885622,senado,Senador Antonio Anastasia ,PSD,MG,senador,5529
138126,8036505,senado,Senador Zequinha Marinho ,PSC,PA,senador,3806
135108,7909966,senado,Senador Styvenson Valentim ,PODE,RN,senador,5959
135108,8009181,senado,Senador Veneziano Vital do Rêgo ,PSB,PB,senador,5748
126199,568584,senado,Senador Telmário Mota ,PDT,RR,senador,5535
126199,4746873,senado,Senador José Aníbal ,PSDB,SP,senador,878
126199,7228578,senado,Senador Armando Monteiro ,PTB,PE,senador,715
126199,7958524,senado,Senador Eduardo Braga ,MDB,AM,senador,4994
126199,7963744,senado,Senador Eduardo Braga ,MDB,AM,senador,4994
126199,7963544,senado,Senador Eduardo Braga ,MDB,AM,senador,4994
132156,7628681,senado,Senador Lasier Martins ,PSD,RS,senador,5533
132156,7945877,senado,Senadora Leila Barros ,PSB,DF,senador,5979
132156,7955141,senado,Senadora Leila Barros ,PSB,DF,senador,5979
132156,7976129,senado,Senadora Leila Barros ,PSB,DF,senador,5979
133385,7734782,senado,Senador Wellington Fagundes ,PR,MT,senador,1173
133385,7747666,senado,Senador Valdir Raupp ,MDB,RO,senador,3372
133385,7949070,senado,Senadora Leila Barros ,PSB,DF,senador,5979
133639,7744628,senado,Senador Otto Alencar ,PSD,BA,senador,5523
133639,7889955,senado,Senador Wellington Fagundes ,PR,MT,senador,1173
133639,7936395,senado,Senador Nelsinho Trad ,PSD,MS,senador,5985
133639,7998006,senado,Senador Nelsinho Trad ,PSD,MS,senador,5985
135648,7926293,senado,Senador Carlos Viana ,PSD,MG,senador,5990
