id_principal,casa,id_documento,sigla,descricao_tipo_documento,tipo_documento_ext,id_autor,data,url_inteiro_teor,id_leggo,peso_autor_documento,casa_autor,nome_eleitoral,autores
135108,senado,7909966,PL 553/2019,PL 553/2019 (Casa iniciadora-SF),Projeto de Lei Ordinária,5959,2019-02-07,http://legis.senado.leg.br/sdleg-getter/documento?dm=7909966,2d91f5e7e59961f0789f968aa0ec00ed,1,senado,Sen. Styvenson Valentim (PODEMOS/RN),Sen. Styvenson Valentim (PODEMOS/RN)
135108,senado,8009181,PL 553/2019,Relatório Legislativo - SF196167849443,Relatório Legislativo,5748,2019-09-16,http://legis.senado.leg.br/sdleg-getter/documento?dm=8009181,2d91f5e7e59961f0789f968aa0ec00ed,1,senado,Sen. Veneziano Vital do Rêgo (PSB/PB),Sen. Veneziano Vital do Rêgo (PSB/PB)
135117,senado,7909606,PL 551/2019,PL 551/2019 (Casa iniciadora-SF),Projeto de Lei Ordinária,6027,2019-02-07,http://legis.senado.leg.br/sdleg-getter/documento?dm=7909606,c9f0b0979086bb844be663a309d34a46,1,senado,Sen. Mecias de Jesus (REPUBLICANOS/RR),Sen. Mecias de Jesus (REPUBLICANOS/RR)
135158,senado,7916246,PL 639/2019,PL 639/2019 (Casa iniciadora-SF),Projeto de Lei Ordinária,5535,2019-02-12,http://legis.senado.leg.br/sdleg-getter/documento?dm=7916246,ad9a166563c2b6a16683d400807968cd,1,senado,Sen. Telmário Mota (PROS/RR),Sen. Telmário Mota (PROS/RR)
135158,senado,7997683,PL 639/2019,Relatório Legislativo - SF196160185050,Relatório Legislativo,5666,2019-08-27,http://legis.senado.leg.br/sdleg-getter/documento?dm=7997683,ad9a166563c2b6a16683d400807968cd,1,senado,Sen. Major Olimpio (PSL/SP),Sen. Major Olimpio (PSL/SP)
135161,senado,7916236,PL 635/2019,PL 635/2019 (Casa iniciadora-SF),Projeto de Lei Ordinária,5533,2019-02-12,http://legis.senado.leg.br/sdleg-getter/documento?dm=7916236,46f21b82789c07a457d65619991a3e56,1,senado,Sen. Lasier Martins (PODEMOS/RS),Sen. Lasier Martins (PODEMOS/RS)
135161,senado,7918758,PL 635/2019,Ofício,Ofício,5533,2019-02-19,http://legis.senado.leg.br/sdleg-getter/documento?dm=7918758,46f21b82789c07a457d65619991a3e56,1,senado,Sen. Lasier Martins (PODEMOS/RS),Sen. Lasier Martins (PODEMOS/RS)
135165,senado,7916180,PDL 25/2019,PDL 25/2019 (Casa iniciadora-SF),Projeto de Decreto Legislativo,6027,2019-02-11,http://legis.senado.leg.br/sdleg-getter/documento?dm=7916180,6ca119cd90139946049c113136bef565,1,senado,Sen. Mecias de Jesus (REPUBLICANOS/RR),Sen. Mecias de Jesus (REPUBLICANOS/RR)
135165,senado,8039928,PDL 25/2019,Relatório Legislativo - SF190588349810,Relatório Legislativo,5535,2019-11-19,http://legis.senado.leg.br/sdleg-getter/documento?dm=8039928,6ca119cd90139946049c113136bef565,1,senado,Sen. Telmário Mota (PROS/RR),Sen. Telmário Mota (PROS/RR)
135169,senado,7916193,PL 616/2019,PL 616/2019 (Casa iniciadora-SF),Projeto de Lei Ordinária,5533,2019-02-12,http://legis.senado.leg.br/sdleg-getter/documento?dm=7916193,f7e1f34e5ffcdf29fd417c97f06aed94,1,senado,Sen. Lasier Martins (PODEMOS/RS),Sen. Lasier Martins (PODEMOS/RS)
135169,senado,7926803,PL 616/2019,Relatório Legislativo - SF198828857780,Relatório Legislativo,5783,2019-03-13,http://legis.senado.leg.br/sdleg-getter/documento?dm=7926803,f7e1f34e5ffcdf29fd417c97f06aed94,1,senado,Sen. Zenaide Maia (PROS/RN),Sen. Zenaide Maia (PROS/RN)
135169,senado,7929791,PL 616/2019,REQ 26/2019 - CAS,Requerimento,5783,2019-03-20,http://legis.senado.leg.br/sdleg-getter/documento?dm=7929791,f7e1f34e5ffcdf29fd417c97f06aed94,1,senado,Sen. Zenaide Maia (PROS/RN),Sen. Zenaide Maia (PROS/RN)
135169,senado,7936148,PL 616/2019,REQ 29/2019 - CAS,Requerimento,5783,2019-04-02,http://legis.senado.leg.br/sdleg-getter/documento?dm=7936148,f7e1f34e5ffcdf29fd417c97f06aed94,1,senado,Sen. Zenaide Maia (PROS/RN),Sen. Zenaide Maia (PROS/RN)
135169,senado,7948280,PL 616/2019,REQ 49/2019 - CAS,Requerimento,5783,2019-05-07,http://legis.senado.leg.br/sdleg-getter/documento?dm=7948280,f7e1f34e5ffcdf29fd417c97f06aed94,1,senado,Sen. Zenaide Maia (PROS/RN),Sen. Zenaide Maia (PROS/RN)
135175,senado,7916250,PDL 28/2019,PDL 28/2019 (Casa iniciadora-SF),Projeto de Decreto Legislativo,6027,2019-02-11,http://legis.senado.leg.br/sdleg-getter/documento?dm=7916250,a7d1954317d49860e7d094740c4cb59c,1,senado,Sen. Mecias de Jesus (REPUBLICANOS/RR),Sen. Mecias de Jesus (REPUBLICANOS/RR)
