id_leggo,id_principal,casa,id_autor.x,id_autor.y,peso_arestas,num_coautorias,nome.x,partido.x,uf.x,casa_autor.x,bancada.x,nome.y,partido.y,uf.y,casa_autor.y,bancada.y
03a334e664203d1f5f1fed64b52c8cce,135595,senado,4994,4994,1,1,Sen. Eduardo Braga,MDB,AM,senado,governo,Sen. Eduardo Braga,MDB,AM,senado,governo
03a334e664203d1f5f1fed64b52c8cce,135595,senado,5523,5523,1,1,Sen. Otto Alencar,PSD,BA,senado,governo,Sen. Otto Alencar,PSD,BA,senado,governo
03a334e664203d1f5f1fed64b52c8cce,135595,senado,5533,5533,1,1,Sen. Lasier Martins,PODEMOS,RS,senado,governo,Sen. Lasier Martins,PODEMOS,RS,senado,governo
073dab437c82eecd48d904e9eca68fec,141759,senado,5012,5012,2,2,Sen. Randolfe Rodrigues,REDE,AP,senado,oposição,Sen. Randolfe Rodrigues,REDE,AP,senado,oposição
0951066ca224f67a5ce614571b61c229,137065,senado,1186,1186,1,1,Sen. Luis Carlos Heinze,PP,RS,senado,governo,Sen. Luis Carlos Heinze,PP,RS,senado,governo
0951066ca224f67a5ce614571b61c229,137065,senado,4531,4531,1,1,Sen. Jayme Campos,DEM,MT,senado,governo,Sen. Jayme Campos,DEM,MT,senado,governo
0951066ca224f67a5ce614571b61c229,137065,senado,5979,5979,2,2,Sen. Leila Barros,PSB,DF,senado,oposição,Sen. Leila Barros,PSB,DF,senado,oposição
0951066ca224f67a5ce614571b61c229,137065,senado,5990,5990,1,1,Sen. Carlos Viana,PSD,MG,senado,governo,Sen. Carlos Viana,PSD,MG,senado,governo
0a47e56a70f7c68aa7176ebe6ae36476,135686,senado,2331,2331,2,2,Sen. Rose de Freitas,PODEMOS,ES,senado,governo,Sen. Rose de Freitas,PODEMOS,ES,senado,governo
0a47e56a70f7c68aa7176ebe6ae36476,135686,senado,5990,5990,2,2,Sen. Carlos Viana,PSD,MG,senado,governo,Sen. Carlos Viana,PSD,MG,senado,governo
0aae05928abb6a83a51cbfd42d935b69,135799,senado,285,285,2,2,Sen. Marcio Bittar,MDB,AC,senado,governo,Sen. Marcio Bittar,MDB,AC,senado,governo
0aae05928abb6a83a51cbfd42d935b69,135799,senado,4560,4560,1,1,Sen. Sérgio Petecão,PSD,AC,senado,governo,Sen. Sérgio Petecão,PSD,AC,senado,governo
0aae05928abb6a83a51cbfd42d935b69,135799,senado,5953,5953,1,1,Sen. Fabiano Contarato,REDE,ES,senado,oposição,Sen. Fabiano Contarato,REDE,ES,senado,oposição
0bb217da1e776f91e1544d7d9cc67215,137828,senado,1186,1186,1,1,Sen. Luis Carlos Heinze,PP,RS,senado,governo,Sen. Luis Carlos Heinze,PP,RS,senado,governo
0bb217da1e776f91e1544d7d9cc67215,137828,senado,4981,4981,1,1,Sen. Acir Gurgacz,PDT,RO,senado,oposição,Sen. Acir Gurgacz,PDT,RO,senado,oposição
0bb217da1e776f91e1544d7d9cc67215,137828,senado,5537,5537,1,1,Sen. Dário Berger,MDB,SC,senado,governo,Sen. Dário Berger,MDB,SC,senado,governo
0bb217da1e776f91e1544d7d9cc67215,137828,senado,581,581,1,1,Sen. Jaques Wagner,PT,BA,senado,oposição,Sen. Jaques Wagner,PT,BA,senado,oposição
0bb217da1e776f91e1544d7d9cc67215,137828,senado,5953,5953,1,1,Sen. Fabiano Contarato,REDE,ES,senado,oposição,Sen. Fabiano Contarato,REDE,ES,senado,oposição
0c5ce178d09d477b44e90b25dd3ee1b3,139858,senado,5748,5748,1,1,Sen. Veneziano Vital do Rêgo,PSB,PB,senado,oposição,Sen. Veneziano Vital do Rêgo,PSB,PB,senado,oposição
0d9474c890a194c8db2e4cf4aadfec9a,126199,senado,4994,4994,3,3,Sen. Eduardo Braga,MDB,AM,senado,governo,Sen. Eduardo Braga,MDB,AM,senado,governo
0ea9962317f8137607c3bdf36ac40ce2,136294,senado,5411,5411,2,2,Sen. Weverton,PDT,MA,senado,oposição,Sen. Weverton,PDT,MA,senado,oposição
0ea9962317f8137607c3bdf36ac40ce2,136294,senado,5502,5502,1,1,Sen. Plínio Valério,PSDB,AM,senado,governo,Sen. Plínio Valério,PSDB,AM,senado,governo
0ed08f124eb6abb9f44ff7f736630477,135818,senado,581,581,1,1,Sen. Jaques Wagner,PT,BA,senado,oposição,Sen. Jaques Wagner,PT,BA,senado,oposição
0ed08f124eb6abb9f44ff7f736630477,135818,senado,5895,5895,1,1,Sen. Jorge Kajuru,PATRIOTA,GO,senado,governo,Sen. Jorge Kajuru,PATRIOTA,GO,senado,governo
106d3cade46a4714ce9f835fb0664b07,139154,senado,5012,5012,1,1,Sen. Randolfe Rodrigues,REDE,AP,senado,oposição,Sen. Randolfe Rodrigues,REDE,AP,senado,oposição
106d3cade46a4714ce9f835fb0664b07,139154,senado,5718,5718,2,2,Sen. Eliziane Gama,CIDADANIA,MA,senado,governo,Sen. Eliziane Gama,CIDADANIA,MA,senado,governo
106d3cade46a4714ce9f835fb0664b07,139154,senado,5982,5982,1,1,Sen. Alessandro Vieira,CIDADANIA,SE,senado,governo,Sen. Alessandro Vieira,CIDADANIA,SE,senado,governo
1495e57cedf0e50546d3ae9eaeb1cd66,139585,senado,475,475,1,1,Sen. Confúcio Moura,MDB,RO,senado,governo,Sen. Confúcio Moura,MDB,RO,senado,governo
1500badc155ea18ae6494b247a96c52f,135332,senado,4531,4531,1,1,Sen. Jayme Campos,DEM,MT,senado,governo,Sen. Jayme Campos,DEM,MT,senado,governo
1500badc155ea18ae6494b247a96c52f,135332,senado,5529,5529,1,1,Sen. Antonio Anastasia,PSD,MG,senado,governo,Sen. Antonio Anastasia,PSD,MG,senado,governo
