ano_materia,autoria_texto,casa,id_principal,id_documento,data_texto,descricao_identificacao_materia,descricao_objetivo_processo,descricao_subtipo_materia,descricao_texto,descricao_tipo_texto,formato_texto,identificacao_comissao_codigo_comissao,identificacao_comissao_nome_casa_comissao,identificacao_comissao_nome_comissao,identificacao_comissao_sigla_casa_comissao,identificacao_comissao_sigla_comissao,indicador_tramitando,nome_casa_identificacao_materia,numero_emenda,numero_materia,sigla_casa_identificacao_materia,sigla_subtipo_materia,tipo_documento,url_texto
2019,Câmara dos Deputados,senado,140286,8049920,2019-11-29,PL 1191/2019,Revisora,PROJETO DE LEI,PL 1191/2019,Projeto de Lei Ordinária,application/pdf,1998,Senado Federal,Plenário do Senado Federal,SF,PLEN,Sim,Senado Federal,NA,01191,SF,PL,PDF,http://legis.senado.leg.br/sdleg-getter/documento?dm=8049920
2019,Senado Federal,senado,140286,8058947,2019-12-18,PL 1191/2019,Revisora,PROJETO DE LEI,Avulso inicial da matéria,Avulso inicial da matéria,application/pdf,1998,Senado Federal,Plenário do Senado Federal,SF,PLEN,Sim,Senado Federal,NA,01191,SF,PL,PDF,http://legis.senado.leg.br/sdleg-getter/documento?dm=8058947
2019,Senado Federal,senado,137437,7971094,2019-06-26,PL 2787/2019,Revisora,PROJETO DE LEI,Avulso inicial da matéria,Avulso inicial da matéria,application/pdf,1998,Senado Federal,Plenário do Senado Federal,SF,PLEN,Sim,Senado Federal,NA,02787,SF,PL,PDF,http://legis.senado.leg.br/sdleg-getter/documento?dm=7971094
2019,Câmara dos Deputados,senado,137437,7970941,2019-06-26,PL 2787/2019,Revisora,PROJETO DE LEI,PL 2787/2019 (Casa revisora-SF),Projeto de Lei Ordinária,application/pdf,1998,Senado Federal,Plenário do Senado Federal,SF,PLEN,Sim,Senado Federal,NA,02787,SF,PL,PDF,http://legis.senado.leg.br/sdleg-getter/documento?dm=7970941
2019,Senador Alessandro Vieira (CIDADANIA/SE),senado,137437,7998280,2019-08-27,PL 2787/2019,Revisora,PROJETO DE LEI,Relatório Legislativo - SF197863842501,Relatório Legislativo,application/pdf,50,Senado Federal,Comissão de Meio Ambiente,SF,CMA,Sim,Senado Federal,NA,02787,SF,PL,PDF,http://legis.senado.leg.br/sdleg-getter/documento?dm=7998280
2019,Senador Alessandro Vieira (CIDADANIA/SE),senado,137437,8005965,2019-09-11,PL 2787/2019,Revisora,PROJETO DE LEI,Relatório Legislativo - SF190059558628,Relatório Legislativo,application/pdf,50,Senado Federal,Comissão de Meio Ambiente,SF,CMA,Sim,Senado Federal,NA,02787,SF,PL,PDF,http://legis.senado.leg.br/sdleg-getter/documento?dm=8005965
2019,Senador Alessandro Vieira (CIDADANIA/SE),senado,137437,8013400,2019-09-18,PL 2787/2019,Revisora,PROJETO DE LEI,Relatório Legislativo - SF199387791760,Relatório Legislativo,application/pdf,50,Senado Federal,Comissão de Meio Ambiente,SF,CMA,Sim,Senado Federal,NA,02787,SF,PL,PDF,http://legis.senado.leg.br/sdleg-getter/documento?dm=8013400
2019,Senador Luis Carlos Heinze (PP/RS),senado,137437,8012552,2019-09-18,PL 2787/2019,Revisora,PROJETO DE LEI,EMENDA 1 - PL 2787/2019,Emenda,application/pdf,50,Senado Federal,Comissão de Meio Ambiente,SF,CMA,Sim,Senado Federal,NA,02787,SF,PL,PDF,http://legis.senado.leg.br/sdleg-getter/documento?dm=8012552
2019,Comissão de Meio Ambiente,senado,137437,8023503,2019-10-10,PL 2787/2019,Revisora,PROJETO DE LEI,Listagem ou relatório descritivo,Listagem ou relatório descritivo,application/pdf,50,Senado Federal,Comissão de Meio Ambiente,SF,CMA,Sim,Senado Federal,NA,02787,SF,PL,PDF,http://legis.senado.leg.br/sdleg-getter/documento?dm=8023503
2019,"Comissão de Meio Ambiente, Senador Alessandro Vieira (CIDADANIA/SE)",senado,137437,8023535,2019-10-10,PL 2787/2019,Revisora,PROJETO DE LEI,P.S 29/2019 - CMA,Parecer,application/pdf,50,Senado Federal,Comissão de Meio Ambiente,SF,CMA,Sim,Senado Federal,NA,02787,SF,PL,PDF,http://legis.senado.leg.br/sdleg-getter/documento?dm=8023535
