id_votacao,id_parlamentar,partido,voto
2190237-117,209189,PT,Obstrução
2190237-117,204371,PSB,Sim
2190237-117,204435,PDT,Não
2190237-117,204476,AVANTE,Não
2190237-117,204440,PP,Não
2190237-117,204545,PSL,Não
2190237-117,204509,PSOL,Obstrução
2190237-117,160645,PSDB,Não
2190237-117,204494,PATRI,Sim
2190237-117,204380,PP,Não
2190237-117,66179,DEM,Não
2190237-117,160538,PT,Obstrução
2190237-117,204407,PSOL,Obstrução
2190237-117,204423,PSC,Não
2190237-117,204391,PODE,Não
2190237-117,204395,DEM,Não
2190237-117,204421,PSDB,Sim
2190237-117,121948,PP,Não
2190237-117,204419,PSC,Não
2190237-117,178832,PV,Sim
2190237-117,205476,PSD,Não
2190237-117,160653,PODE,Não
2190237-117,191923,PDT,Não
2190237-117,204375,AVANTE,Não
2190237-117,204354,PL,Não
2190237-117,204497,PSD,Não
2190237-117,204441,PSC,Não
2190237-117,204513,PSL,Não
2190237-117,178831,PP,Não
2190237-117,178997,MDB,Não
2190237-117,204504,PSD,Não
2190237-117,178879,SOLIDARIEDADE,Não
2190237-117,160511,PSB,Obstrução
2190237-117,178929,PODE,Não
2190237-117,204368,PSL,Não
2190237-117,204458,PSL,Não
2190237-117,204515,AVANTE,Sim
2190237-117,204374,PSL,Não
2190237-117,207176,PSDB,Não
2190237-117,160553,PSD,Não
2190237-117,204430,PP,Sim
2190237-117,195866,PROS,Não
2190237-117,160528,PSB,Obstrução
2190237-117,204396,PSD,Não
2190237-117,204359,PODE,Não
2190237-117,160545,DEM,Não
2190237-117,198197,AVANTE,Não
2190237-117,204431,MDB,Não
2190237-117,204499,PSB,Obstrução
2190237-117,204514,PSL,Não
2190237-117,160632,SOLIDARIEDADE,Não
2190237-117,204466,PSDB,Não
2190237-117,204522,PSD,Não
2190237-117,204546,PSL,Não
2190237-117,178895,PSD,Não
2190237-117,204547,PSL,Não
2190237-117,178860,DEM,Sim
2190237-117,178985,PL,Não
2190237-117,204456,MDB,Não
2190237-117,204507,PSL,Não
2190237-117,204461,NOVO,Não
2190237-117,178836,DEM,Não
2190237-117,178959,PP,Não
2190237-117,112437,MDB,Não
2190237-117,160535,PT,Obstrução
2190237-117,178871,PP,Não
2190237-117,204487,PROS,Não
2190237-117,204492,PT,Obstrução
2190237-117,204381,DEM,Não
2190237-117,204520,PSL,Não
2190237-117,204550,PL,Não
2190237-117,204570,PMN,Não
2190237-117,204480,PT,Obstrução
2190237-117,204495,PT,Obstrução
2190237-117,179587,PSL,Não
2190237-117,204457,DEM,Não
2190237-117,133810,PTB,Não
2190237-117,204414,PRB,Não
2190237-117,204498,DEM,Não
2190237-117,204519,NOVO,Não
2190237-117,164360,CIDADANIA,Não
2190237-117,152605,PSOL,Obstrução
2190237-117,160641,PCdoB,Obstrução
2190237-117,204357,PSDB,Não
2190237-117,204409,PSDB,Não
2190237-117,178886,DEM,Não
2190237-117,141523,MDB,Sim
2190237-117,204397,PROS,Sim
2190237-117,204559,PT,Obstrução
2190237-117,178909,DEM,Não
2190237-117,74161,PT,Obstrução
2190237-117,160527,PP,Não
2190237-117,178954,MDB,Não
2190237-117,178977,PSDB,Não
2190237-117,204482,PSC,Não
2190237-117,204446,PSL,Não
2190237-117,204481,PL,Não
2190237-117,204543,PSB,Sim
2190237-117,90201,PTB,Não
2190237-117,178992,PSDB,Sim
2190237-117,204437,PRB,Não
2190237-117,204460,PSL,Não
2190237-117,133439,PDT,Obstrução
2190237-117,178961,PSDB,Não
2190237-117,204528,NOVO,Não
2190237-117,74352,PSDB,Não
2190237-117,204455,PSL,Não
2190237-117,204531,PP,Não
2190237-117,204538,PTB,Não
2190237-117,204465,PSD,Não
2190237-117,204415,PSL,Não
2190237-117,204532,NOVO,Não
2190237-117,204355,CIDADANIA,Não
2190237-117,204451,PSL,Não
2190237-117,204454,PSL,Não
2190237-117,204523,NOVO,Não
2190237-117,204576,PRB,Não
2190237-117,160559,MDB,Não
2190237-117,204389,PSB,Obstrução
2190237-117,204450,PP,Não
2190237-117,204503,PT,Obstrução
2190237-117,204516,NOVO,Não
2190237-117,73772,MDB,Não
2190237-117,204403,PDT,Não
2190237-117,69871,PODE,Sim
2190237-117,204378,PSL,Não
2190237-117,204400,PSL,Não
2190237-117,74043,PL,Não
2190237-117,141553,PSDB,Sim
2190237-117,204554,PL,Não
2190237-117,115746,PL,Não
2190237-117,204399,PP,Não
2190237-117,204413,PATRI,Não
2190237-117,204448,S.PART.,Não
2190237-117,74585,PL,Não
2190237-117,162332,PL,Não
2190237-117,74262,PSDB,Sim
2190237-117,178829,PL,Não
2190237-117,204444,PSL,Não
2190237-117,90842,PTB,Não
2190237-117,178881,PODE,Não
2190237-117,178920,PODE,Não
2190237-117,204508,PODE,Não
2190237-117,178981,MDB,Não
2190237-117,204567,PL,Não
2190237-117,98057,PRB,Não
2190237-117,160558,PL,Não
2190237-117,178986,PT,Obstrução
2190237-117,204362,PSD,Não
2190237-117,204548,PSL,Não
2190237-117,204429,PSB,Obstrução
2190237-117,204533,PDT,Obstrução
2190237-117,81297,PSL,Não
2190237-117,171617,PT,Obstrução
2190237-117,193726,PSC,Não
2190237-117,204364,SOLIDARIEDADE,Não
2190237-117,160587,PSD,Não
2190237-117,204411,PSL,Não
2190237-117,74439,PDT,Obstrução
2190237-117,160518,PROS,Sim
2190237-117,74459,PSB,Não
2190237-117,178876,PSDB,Não
2190237-117,68720,PDT,Sim
2190237-117,73801,PCdoB,Obstrução
2190237-117,74200,PROS,Não
2190237-117,74571,PT,Obstrução
2190237-117,178993,DEM,Não
2190237-117,178956,PSDB,Não
2190237-117,204370,PT,Obstrução
2190237-117,204524,PP,Não
2190237-117,74079,MDB,Não
2190237-117,204502,PSL,Não
2190237-117,139285,PSB,Obstrução
2190237-117,204387,PSD,Não
2190237-117,146788,PP,Não
2190237-117,178933,MDB,Não
2190237-117,204363,PSC,Não
2190237-117,204422,PRB,Não
2190237-117,204490,PSL,Não
2190237-117,66828,PP,Não
2190237-117,160758,PSDB,Não
2190237-117,178863,PROS,Não
2190237-117,204434,SOLIDARIEDADE,Não
2190237-117,198783,PTB,Não
2190237-117,204485,PL,Não
2190237-117,204496,PSDB,Sim
2190237-117,204510,PP,Não
2190237-117,74156,PT,Obstrução
2190237-117,204489,PDT,Obstrução
2190237-117,74554,PL,Não
2190237-117,146307,PP,Não
2190237-117,160655,PP,Sim
2190237-117,204462,PSL,Não
2190237-117,204474,MDB,Não
2190237-117,74356,PRB,Não
2190237-117,178921,PL,Não
2190237-117,205863,PSL,Não
2190237-117,122974,PTB,Não
2190237-117,141408,PRB,Não
2190237-117,204484,PSL,Não
2190237-117,204573,PSD,Não
2190237-117,141508,PSB,Obstrução
2190237-117,204518,PATRI,Não
2190237-117,141464,PT,Obstrução
2190237-117,204386,DEM,Não
2190237-117,160534,PL,Não
2190237-117,204529,PL,Não
2190237-117,141459,PL,Não
2190237-117,204540,PRB,Não
2190237-117,74090,PP,Não
2190237-117,74574,PSD,Não
2190237-117,135054,PL,Não
2190237-117,136811,PP,Não
2190237-117,204376,PSL,Não
2190237-117,204351,PSL,Não
2190237-117,204367,PSL,Não
2190237-117,204406,PP,Não
2190237-117,81055,PCdoB,Obstrução
2190237-117,178839,MDB,Não
2190237-117,178969,PSD,Não
2190237-117,204388,PSL,Não
2190237-117,204483,PSB,Obstrução
2190237-117,204541,PDT,Sim
2190237-117,204565,PSL,Não
2190237-117,74052,PL,Não
2190237-117,108338,PP,Não
2190237-117,141391,CIDADANIA,Não
2190237-117,178983,PL,Não
2190237-117,204479,PSL,Não
2190237-117,204521,PSL,Não
2190237-117,204544,PSL,Não
2190237-117,204562,PSD,Não
2190237-117,141405,MDB,Não
2190237-117,178873,PT,Obstrução
2190237-117,204360,PDT,Obstrução
2190237-117,204382,PSL,Não
2190237-117,204416,PSL,Não
2190237-117,204420,PSL,Não
2190237-117,141513,DEM,Não
2190237-117,204563,PL,Não
2190237-117,73586,PSB,Obstrução
2190237-117,204373,PRB,Não
2190237-117,204439,SOLIDARIEDADE,Não
2190237-117,204449,PSL,Não
2190237-117,196358,PSL,Não
2190237-117,204526,PSL,Não
2190237-117,92776,PSD,Não
2190237-117,93083,PP,Não
2190237-117,160556,PT,Obstrução
2190237-117,160601,PODE,Não
2190237-117,204405,PSB,Obstrução
2190237-117,204438,PL,Não
2190237-117,204558,PSB,Obstrução
2190237-117,207309,PSL,Não
2190237-117,74270,PSC,Não
2190237-117,141427,MDB,Não
2190237-117,204390,PP,Não
2190237-117,204452,PSL,Não
2190237-117,204552,PMN,Sim
2190237-117,178861,PP,Não
2190237-117,204366,PSB,Não
2190237-117,204369,PSL,Não
2190237-117,204475,SOLIDARIEDADE,Não
2190237-117,204525,PSB,Obstrução
2190237-117,204574,PL,Não
2190237-117,141421,PP,Não
2190237-117,154178,PRB,Não
2190237-117,178910,PSD,Não
2190237-117,178953,PSD,Não
2190237-117,204472,PODE,Não
2190237-117,74749,MDB,Não
2190237-117,141434,MDB,Não
2190237-117,92699,PP,Não
2190237-117,152610,PRB,Não
2190237-117,160651,MDB,Não
2190237-117,178928,PL,Não
2190237-117,204432,SOLIDARIEDADE,Não
2190237-117,204491,PRB,Não
2190237-117,204549,PP,Não
2190237-117,205865,PSD,Não
2190237-117,74848,PCdoB,Obstrução
2190237-117,178970,PT,Obstrução
2190237-117,204352,PSB,Obstrução
2190237-117,204394,PSB,Obstrução
2190237-117,204561,PSB,Obstrução
2190237-117,206231,PSB,Obstrução
2190237-117,73696,PP,Não
2190237-117,178835,PDT,Não
2190237-117,178858,PP,Não
2190237-117,204361,MDB,Não
2190237-117,204512,PSL,Não
2190237-117,205550,PRB,Sim
2190237-117,160673,PL,Não
2190237-117,171623,MDB,Não
2190237-117,178952,MDB,Não
2190237-117,178975,MDB,Não
2190237-117,204459,MDB,Não
2190237-117,204517,PL,Não
2190237-117,73466,CIDADANIA,Não
2190237-117,160976,PL,Não
2190237-117,179001,MDB,Não
2190237-117,204356,PRB,Não
2190237-117,204469,PRB,Não
2190237-117,204566,PATRI,Não
2190237-117,160532,DEM,Não
2190237-117,178889,PT,Obstrução
2190237-117,178994,MDB,Não
2190237-117,194260,PTB,Não
2190237-117,204542,PSB,Obstrução
2190237-117,178927,PSB,Obstrução
2190237-117,178908,PSD,Não
2190237-117,74693,DEM,Artigo 17
2190237-114,204372,PRB,Sim
2190237-114,178970,PT,Obstrução
2190237-114,204454,PSL,Sim
2190237-114,178881,PODE,Sim
2190237-114,178929,PODE,Sim
2190237-114,204507,PSL,Sim
2190237-114,160653,PODE,Não
2190237-114,160645,PSDB,Sim
