id_votacao,id_parlamentar,voto
5971,4981,LS
5971,5982,Sim
5971,945,Sim
5971,5967,Não
5971,5529,Sim
5971,751,Não
5971,5990,Não
5971,470,Não
5971,5973,Sim
5971,739,Não
5971,475,Sim
5971,5998,Sim
5971,5537,Não
5971,3830,Presidente (art. 51 RISF)
5971,4994,Sim
5971,5976,Sim
5971,3777,Não
5971,5718,Sim
5971,5531,Não
5971,22,Sim
5971,5953,Sim
5971,5540,Não
5971,345,Sim
5971,5894,Não
5971,5008,Sim
5971,5385,AP
5971,4770,Não
5971,35,AP
5971,581,Sim
5971,4545,Sim
5971,4531,Sim
5971,5627,Sim
5971,5895,Sim
5971,5350,Não
5971,3361,Sim
5971,90,Sim
5971,5929,Não
5971,1249,Sim
5971,5533,Não
5971,5979,Sim
5971,5926,Não
5971,1186,Não
5971,5585,Não
5971,5557,Não
5971,5666,Não
5971,5376,Sim
5971,742,Sim
5971,285,Não
5971,5942,Não
5971,5422,Não
5971,1023,P-NRV
5971,6027,Sim
5971,5985,Não
5971,5525,Sim
5971,5924,Sim
5971,5523,Sim
5971,825,Sim
5971,374,Sim
5971,5502,Sim
5971,5012,Sim
5971,5236,Sim
5971,70,Sim
5971,5561,Sim
5971,677,Não
5971,5905,Sim
5971,5732,Sim
5971,5352,Sim
5971,5322,Sim
5971,2331,Sim
5971,4560,P-NRV
5971,5527,Sim
5971,5988,Não
5971,5959,Sim
5971,3396,Sim
5971,5535,Não
5971,5899,Não
5971,5748,Sim
5971,1173,Sim
5971,5411,Sim
5971,5783,Sim
5971,3806,Não
6082,4981,Sim
6082,5982,Sim
6082,945,Sim
6082,5967,Sim
6082,5529,Presidente (art. 51 RISF)
6082,751,Sim
6082,5990,Sim
6082,470,Sim
6082,739,Sim
6082,475,Sim
6082,5998,Sim
6082,5537,Sim
6082,3830,Impedido (art.306 RISF)
6082,4994,Sim
6082,5976,Sim
6082,3777,Sim
6082,5718,Sim
6082,5531,Sim
6082,22,Sim
6082,5953,Sim
6082,5540,Sim
6082,4525,Sim
6082,345,Sim
6082,5894,Sim
6082,5008,Sim
6082,5385,Sim
6082,4770,Sim
6082,35,Sim
6082,581,Sim
6082,4545,Sim
6082,4531,Sim
6082,5627,Sim
6082,5895,Sim
6082,5350,Sim
6082,3361,Sim
6082,90,Sim
6082,5929,Impedido (art.306 RISF)
6082,5533,Sim
6082,5979,Sim
6082,1186,Sim
6082,5585,Sim
6082,151,Sim
6082,5557,Sim
6082,5666,Sim
6082,5376,Sim
6082,742,Sim
6082,285,Sim
6082,5942,Sim
6082,5422,Sim
6082,1023,Sim
6082,6027,Sim
6082,5985,Impedido (art.306 RISF)
6082,5525,Sim
6082,5924,Sim
6082,5523,Sim
6082,5927,Sim
6082,825,Sim
6082,374,Sim
6082,5502,Sim
6082,5971,Sim
6082,5012,Sim
6082,5236,Sim
6082,70,Sim
6082,677,Sim
6082,5905,Sim
6082,5732,Sim
6082,5352,Sim
6082,5322,Sim
6082,4560,Impedido (art.306 RISF)
6082,5527,Sim
6082,5988,Sim
6082,5959,Sim
6082,3396,Sim
6082,5535,Sim
6082,5899,Impedido (art.306 RISF)
6082,5748,Sim
6082,1173,Sim
6082,5411,Sim
6082,5783,Sim
6082,3806,Sim
6121,4981,Sim
6121,5982,Sim
6121,945,Sim
6121,5967,Sim
6121,5529,Sim
6121,751,Sim
6121,6295,Sim
6121,5990,Sim
6121,470,Sim
6121,5973,Abstenção
6121,739,Sim
6121,475,Sim
6121,5998,Sim
6121,5537,Sim
6121,3830,P-NRV
6121,4994,Sim
6121,5976,Sim
6121,3777,Sim
6121,5718,Sim
6121,5531,Sim
6121,22,Sim
6121,5953,Sim
6121,5540,Sim
6121,4525,Sim
6121,345,Sim
6121,5894,P-NRV
6121,5008,Sim
6121,5385,P-NRV
6121,4770,Sim
6121,35,NCom
6121,581,Sim
6121,4545,Sim
6121,4531,Sim
6121,5627,Sim
6121,5895,Sim
6121,5350,Sim
6121,3361,Sim
6121,90,Sim
6121,1249,Sim
6121,5533,Sim
6121,5979,Sim
6121,5926,Sim
6121,1186,Sim
6121,5585,Sim
6121,5557,Sim
6121,5666,Sim
6121,5376,LS
6121,742,Sim
6121,285,Sim
6121,5942,Sim
6121,5422,Sim
6121,1023,Sim
6121,6027,Sim
6121,5985,Sim
6121,5525,Sim
6121,5924,Sim
6121,5523,Sim
6121,825,Sim
6121,374,Sim
6121,5502,Sim
6121,5012,Sim
6121,5236,Sim
6121,70,Sim
6121,677,Sim
6121,5905,Sim
6121,5732,Sim
6121,5352,Sim
6121,5322,Sim
6121,2331,Sim
6121,4560,Sim
6121,5527,Sim
6121,5988,Sim
6121,5959,Sim
6121,3396,Sim
6121,5535,Sim
6121,5899,Sim
6121,5748,Sim
6121,1173,Sim
6121,5411,Presidente (art. 51 RISF)
6121,5783,Sim
6121,3806,Sim
6144,4981,Sim
6144,5982,Sim
6144,945,Sim
6144,5967,Sim
6144,5529,Sim
6144,751,Sim
6144,6295,Sim
6144,5990,Sim
6144,470,Sim
6144,5973,Sim
6144,739,Sim
6144,475,Sim
6144,5998,Sim
6144,5537,Sim
6144,3830,Presidente (art. 51 RISF)
6144,4994,Sim
6144,5976,Sim
6144,3777,Sim
6144,5718,Não
6144,5531,Sim
6144,22,Sim
6144,5953,Sim
6144,5540,Sim
6144,4525,Sim
6144,345,Sim
6144,5894,Sim
6144,5008,Não
6144,5385,Sim
6144,4770,Sim
6144,35,Sim
6144,581,Não
6144,4545,Sim
6144,4531,Sim
6144,5627,Não
6144,5895,Sim
6144,5350,Sim
6144,3361,Sim
6144,90,Sim
6144,1249,Sim
6144,5533,Sim
6144,5979,Sim
6144,5926,Sim
6144,1186,Sim
6144,5585,Sim
6144,5557,Sim
6144,5666,Sim
6144,5376,LS
6144,742,Sim
6144,285,Sim
6144,5942,Sim
6144,5422,Sim
6144,1023,Sim
6144,6027,Não
6144,5985,Sim
6144,5525,Sim
6144,5924,Sim
6144,5523,Sim
6144,825,Não
6144,374,Não
6144,5502,Sim
6144,5012,Não
6144,5236,Sim
6144,70,AP
6144,677,Sim
6144,5905,Sim
6144,5732,Sim
6144,5352,Não
6144,5322,Sim
6144,2331,Sim
6144,4560,Não
6144,5527,Sim
6144,5988,Sim
6144,5959,Sim
6144,3396,Sim
6144,5535,Sim
6144,5899,Sim
6144,5748,Não
6144,1173,Sim
6144,5411,Não
6144,5783,Não
6144,3806,Sim
6257,4981,Sim
6257,5982,Sim
6257,945,Sim
6257,5967,Sim
6257,5529,Presidente (art. 51 RISF)
6257,6295,Sim
6257,5936,Sim
6257,5990,Sim
6257,5973,Sim
6257,739,Sim
6257,475,Sim
6257,5537,Sim
6257,3830,AP
6257,5996,Sim
6257,4994,AP
6257,5976,Sim
6257,3777,Sim
6257,5718,AP
6257,5531,Sim
6257,22,Sim
6257,5953,Sim
6257,5540,Sim
6257,4525,Sim
6257,345,Sim
6257,5894,Não
6257,5008,Sim
6257,5385,Sim
6257,4770,Sim
6257,35,AP
6257,581,Sim
6257,4545,Sim
6257,4531,Sim
6257,5627,Sim
6257,5895,Sim
6257,5350,Sim
6257,3361,LS
6257,90,Sim
6257,1249,Sim
6257,5533,Sim
6257,5979,Sim
6257,5926,Sim
6257,1186,Sim
6257,5585,Sim
6257,5557,AP
6257,5666,Sim
6257,5376,Sim
6257,742,Sim
6257,285,Sim
6257,5942,Sim
6257,5422,Sim
6257,1023,Sim
6257,6027,Sim
6257,5985,Sim
6257,63,Sim
6257,5525,Sim
6257,5924,Sim
6257,5523,Sim
6257,825,Sim
6257,374,Sim
6257,5502,Sim
6257,5012,Sim
6257,5236,Sim
6257,70,Sim
6257,677,Sim
6257,5905,Sim
6257,5732,Sim
6257,5352,Sim
6257,5322,Sim
6257,2331,Sim
6257,4560,Sim
6257,5527,Sim
6257,5988,Não
6257,5959,Sim
6257,3396,Sim
6257,5535,LS
6257,5899,Sim
6257,1173,Sim
6257,5411,Sim
6257,5783,Sim
6257,3806,Não
6264,4981,Não
6264,5982,P-NRV
6264,945,P-NRV
