source,target,peso_total_arestas
0,4,0.5222222222222223
0,11,0.1
0,2,0.5222222222222223
0,5,0.5222222222222223
0,9,0.4111111111111111
0,6,0.4222222222222222
0,1,0.4111111111111111
0,7,0.5222222222222223
0,3,0.5222222222222223
0,8,0.5222222222222223
17,16,0.5
17,4,0.20833333333333331
17,15,0.125
17,5,0.20833333333333331
17,12,0.20833333333333331
17,13,0.20833333333333331
17,18,0.20833333333333331
17,7,0.20833333333333331
16,11,0.2
16,15,0.2
16,5,0.5
16,9,0.5333333333333333
16,14,0.5333333333333333
4,11,0.1
4,2,0.5222222222222223
4,15,0.125
4,5,0.7305555555555555
4,12,0.20833333333333331
4,13,0.20833333333333331
4,9,0.49444444444444446
4,18,0.20833333333333331
4,6,0.4222222222222222
4,1,0.4111111111111111
4,7,0.7305555555555555
4,3,1.1055555555555556
4,8,0.5222222222222223
11,2,0.1
11,15,0.2
11,5,0.1
11,9,0.30000000000000004
11,1,0.1
11,7,0.1
11,14,0.2
11,3,0.1
11,8,0.1
2,5,0.5222222222222223
2,12,0.3333333333333333
2,9,0.4111111111111111
2,6,0.4222222222222222
2,1,0.4111111111111111
2,7,0.5222222222222223
2,14,0.3333333333333333
2,3,0.5222222222222223
2,8,0.5222222222222223
19,15,0.45
19,9,0.45
19,1,0.2
19,7,0.45
15,5,0.125
15,12,0.125
15,13,0.125
15,9,1.65
15,18,0.125
15,10,0.3333333333333333
15,1,0.7
15,7,1.4083333333333332
15,14,1.0333333333333332
15,20,0.16666666666666666
21,12,0.22619047619047616
21,9,0.22619047619047616
21,18,0.22619047619047616
21,14,0.14285714285714285
21,3,0.22619047619047616
21,8,0.14285714285714285
5,12,0.20833333333333331
5,13,0.20833333333333331
5,9,0.49444444444444446
5,18,0.20833333333333331
5,6,0.4222222222222222
5,1,0.4111111111111111
5,7,0.7305555555555555
5,3,0.6055555555555555
5,8,0.5222222222222223
12,13,1.2083333333333333
12,9,0.22619047619047616
12,18,0.6011904761904762
12,10,0.3333333333333333
12,6,0.25
12,7,0.20833333333333331
12,14,1.9761904761904763
12,3,0.47619047619047616
12,8,0.6428571428571428
13,18,0.20833333333333331
13,7,0.7083333333333334
9,18,0.22619047619047616
9,10,0.41666666666666663
9,6,0.3111111111111111
9,1,1
9,7,1.7777777777777777
9,14,1.1761904761904762
9,20,1.0833333333333333
9,3,1.1373015873015873
9,8,0.553968253968254
18,6,0.25
18,7,0.20833333333333331
18,14,0.14285714285714285
18,3,0.22619047619047616
18,8,0.39285714285714285
10,1,0.3333333333333333
10,7,0.41666666666666663
10,14,0.3333333333333333
10,20,0.5833333333333334
10,3,0.8333333333333334
10,8,0.25
6,1,0.3111111111111111
6,7,0.4222222222222222
6,3,0.4222222222222222
6,8,0.6722222222222223
1,7,1.1111111111111112
1,14,0.5
1,20,0.16666666666666666
1,3,0.4111111111111111
1,8,0.4111111111111111
7,14,1.8333333333333333
7,20,0.5833333333333333
7,3,0.6055555555555555
7,8,0.5222222222222223
14,20,0.16666666666666666
14,3,0.14285714285714285
14,8,0.14285714285714285
3,8,0.915079365079365
