id_entidade,id_entidade_parlametria,casa,nome,sexo,partido,uf,governismo,governismo_ma,peso_politico,assinadas,autorias_ponderadas,positivas,negativas,neutras
1023,21023,senado,Maria do Carmo Alves,F,DEM,SE,3.7298376171989354,3.0865091095721358,0.0347646,4,0.1407236729817375,3,0,1
107283,1107283,camara,Gleisi Hoffmann,F,PT,PR,-5.604659487888503,-9.453496286365368,0.116336,5,0.44681117094910194,5,0,0
108338,1108338,camara,Jaqueline Cassol,F,PP,RO,4.367303589584546,6.803791049807032,0.103322,1,1,0,1,0
109429,1109429,camara,Benes Leocádio,M,REPUBLICANOS,RN,4.2193583196236695,4.3929255125791435,0.135582,1,1,0,1,0
112437,1112437,camara,João Marcelo Souza,M,MDB,MA,4.716852646170837,5.601720302894027,0.0834535,0,0,NA,NA,NA
115746,1115746,camara,Gelson Azevedo,M,PL,RJ,5.788999670518869,4.266989723545224,0,0,0,NA,NA,NA
116379,1116379,camara,Darci De Matos,M,PSD,SC,4.823484746193607,0.7453848968832393,0.116512,0,0,NA,NA,NA
1173,21173,senado,Wellington Fagundes,M,PL,MT,1.8223141437247143,0.43452817815427913,0.365028,5,2.1013056835637483,4,1,0
1186,21186,senado,Luis Carlos Heinze,M,PP,RS,7.418527338508717,8.212719413700512,0.476287,6,6,0,6,0
121948,1121948,camara,Adriano Do Baldy,M,PP,GO,7.600996818687207,8.82684454275649,0.0675507,0,0,NA,NA,NA
122158,1122158,camara,Pedro Paulo,M,DEM,RJ,3.1143915718024946,0.017545468796182462,0.142264,0,0,NA,NA,NA
122466,1122466,camara,Ronaldo Martins,M,REPUBLICANOS,CE,5.754947276400404,3.7466094677953325,0.139058,0,0,NA,NA,NA
122974,1122974,camara,Pedro Lucas Fernandes,M,PTB,MA,4.48080929958051,8.498158065632992,0.39347,3,3,3,0,0
1249,21249,senado,Kátia Abreu,F,PP,TO,2.7180466894403494,0.06924174438260167,0.0347646,1,1,0,1,0
128760,1128760,camara,Paulo Marinho Jr,M,PL,MA,4.48497792960125,5.480451573387956,NA,0,0,NA,NA,NA
129618,1129618,camara,Gorete Pereira,F,PL,CE,2.2043137960851826,1.329315473168391,NA,0,0,NA,NA,NA
132504,1132504,camara,Enio Verri,M,PT,PR,-7.014677384494272,-7.17008310801166,0.105363,10,0.7462072025712999,9,0,1
133439,1133439,camara,André Figueiredo,M,PDT,CE,-1.6197915932863456,-2.459714725467551,0.428693,2,2,1,1,0
133810,1133810,camara,Marcelo Moraes,M,PTB,RS,3.2117373480639806,0.08372993885431157,0.138923,0,0,NA,NA,NA
133968,1133968,camara,Paulo Ramos,M,PDT,RJ,-1.735511275372584,-3.6104814386665005,0.148905,4,4,4,0,0
134812,1134812,camara,Edmilson Rodrigues,M,PSOL,PA,-7.055106803499095,-7.248743557970302,0.182547,10,1.8705938697318008,9,1,0
135054,1135054,camara,Cristiano Vale,M,PL,PA,5.1862812986647135,6.872912559769105,0.0716541,0,0,NA,NA,NA
136811,1136811,camara,Afonso Hamm,M,PP,RS,4.45616723626874,5.435949598866436,0.139661,1,1,0,1,0
137070,1137070,camara,Vicentinho Júnior,M,PL,TO,6.195854905132656,4.965167918299237,0.0571,2,2,2,0,0
139285,1139285,camara,Lídice Da Mata,F,PSB,BA,-2.90869609738437,-4.759377575944096,0.445341,4,1.1859649122807017,4,0,0
141335,1141335,camara,Beto Faro,M,PT,PA,-5.2335148689005955,-9.144658931482422,0.111351,7,0.31813470036086666,5,0,2
141372,1141372,camara,Aelton Freitas,M,PL,MG,NA,NA,NA,0,0,NA,NA,NA
141391,1141391,camara,Arnaldo Jardim,M,CIDADANIA,SP,2.2299558540904094,1.3125415860930207,0.229201,1,0.5,0,0,1
141398,1141398,camara,Carlos Zarattini,M,PT,SP,-4.919172540000528,-8.55555595250689,0.128135,1,0.019230769230769232,1,0,0
141401,1141401,camara,Carlos Bezerra,M,MDB,MT,3.029949436601715,1.095699133019501,0.137942,0,0,NA,NA,NA
141405,1141405,camara,Celso Maldaner,M,MDB,SC,4.35708093554069,5.465189878913851,0.123578,0,0,NA,NA,NA
141408,1141408,camara,Cleber Verde,M,REPUBLICANOS,MA,4.872176009627863,4.666991875448325,NA,1,1,0,0,1
141411,1141411,camara,Dagoberto Nogueira,M,PDT,MS,-1.1861907694989853,-1.6155008706563478,0.16722,0,0,NA,NA,NA
141417,1141417,camara,Edio Lopes,M,PL,RR,5.518217133905981,4.936646340642453,0.171276,0,0,NA,NA,NA
141421,1141421,camara,Eduardo Da Fonte,M,PP,PE,4.042481752092728,4.797048957362406,0.119127,0,0,NA,NA,NA
141422,1141422,camara,Efraim Filho,M,DEM,PB,4.440281678560357,5.272149257536661,0.121449,1,1,1,0,0
141427,1141427,camara,Fábio Ramalho,M,MDB,MG,3.5283330042265693,8.477273571483142,0.129625,0,0,NA,NA,NA
141428,1141428,camara,Fábio Faria,M,PSD,RN,5.045430215535674,3.275360245445869,0.116424,0,0,NA,NA,NA
141431,1141431,camara,Fernando Coelho Filho,M,DEM,PE,4.201223752175407,3.700243171658764,0.121045,0,0,NA,NA,NA
141434,1141434,camara,Flaviano Melo,M,MDB,AC,4.179939068182554,4.998078854606652,0.148806,0,0,NA,NA,NA
141439,1141439,camara,Chico D'angelo,M,PDT,RJ,-2.1590414188609772,-3.5367236952214895,0.165331,0,0,NA,NA,NA
141440,1141440,camara,Chico Lopes,M,PCdoB,CE,NA,NA,NA,0,0,NA,NA,NA
141450,1141450,camara,Hugo Leal,M,PSD,RJ,3.77194620917658,0.062158914334329296,0.135779,1,1,1,0,0
141458,1141458,camara,João Carlos Bacelar,M,PL,BA,6.589671342506961,1.5503588469343565,0.119348,0,0,NA,NA,NA
141459,1141459,camara,João Maia,M,PL,RN,6.174953565916667,5.971280809041152,0.381378,0,0,NA,NA,NA
141464,1141464,camara,José Airton Félix Cirilo,M,PT,CE,-5.421974452941349,-7.291784195343633,0.152429,1,0.019230769230769232,1,0,0
141470,1141470,camara,José Guimarães,M,PT,CE,-4.760657341689731,-8.341688387620389,0.123442,19,10.702900914538846,17,0,2
141488,1141488,camara,Paulo Teixeira,M,PT,SP,-5.951972849716273,-7.527200882229313,0.145517,13,1.673940988393321,11,0,2
141508,1141508,camara,Mauro Nazif,M,PSB,RO,-1.5645884582520662,-2.1064627177395856,0.125984,5,4.05,2,3,0
141513,1141513,camara,Bilac Pinto,M,DEM,MG,3.8866876943069855,1.2414409071638595,NA,0,0,NA,NA,NA
141515,1141515,camara,Otavio Leite,M,PSDB,RJ,NA,NA,NA,0,0,NA,NA,NA
141516,1141516,camara,Paulo Abi-Ackel,M,PSDB,MG,3.304718506763402,8.179212048072316,0.0972334,0,0,NA,NA,NA
141518,1141518,camara,Paulo Pereira Da Silva,M,SOLIDARIEDADE,SP,2.115177454189432,1.2193164533147538,0.166954,0,0,NA,NA,NA
141523,1141523,camara,Raul Henry,M,MDB,PE,3.461549106802204,-0.27708448608441394,0.0943247,1,1,1,0,0
141531,1141531,camara,Rodrigo De Castro,M,PSDB,MG,2.9414405159945893,-1.7424105058777197,0.120658,0,0,NA,NA,NA
141552,1141552,camara,Valtenir Pereira,M,MDB,MT,5.3086129167878955,4.4557155558473625,NA,0,0,NA,NA,NA
141553,1141553,camara,Vanderlei Macris,M,PSDB,SP,2.9247183618318715,-0.4505690529887083,0.162682,0,0,NA,NA,NA
141555,1141555,camara,Vinicius Carvalho,M,REPUBLICANOS,SP,4.093586680917822,4.944796761496127,0.0347646,0,0,NA,NA,NA
143084,1143084,camara,Tiago Dimas,M,SOLIDARIEDADE,TO,2.8804229705853164,2.06682076438595,0.105788,0,0,NA,NA,NA
143632,1143632,camara,Domingos Neto,M,PSD,CE,4.898160045792464,0.6286821767265831,0.0932629,0,0,NA,NA,NA
