nome,id_entidade_parlametria,partido,uf,casa,governismo,governismo_ma,peso_politico,votos_favoraveis,votos_contra,votos_indef,votos_sim_nao,apoio
Abílio Santana,1204554,PL,BA,camara,5.196967639177403,1.7991421823774072,0,3,20,0,23,0.13043478260869565
Abou Anni,1204521,PSL,SP,camara,4.502292738134395,7.289786876866444,0.0539406,2,20,0,22,0.09090909090909091
Acácio Favacho,1204379,PROS,AP,camara,4.641593502512835,7.2868136997271975,0.169883,1,9,0,10,0.1
Adolfo Viana,1204560,PSDB,BA,camara,3.935508257428868,4.774360576715711,0.0777261,1,0,0,1,1
Adriana Ventura,1204528,NOVO,SP,camara,6.182809530707537,7.5664076996181215,0.0149032,2,20,0,22,0.09090909090909091
Adriano Do Baldy,1121948,PP,GO,camara,7.600996818687207,8.82684454275649,0.0541966,2,15,0,17,0.11764705882352941
Aécio Neves,174646,PSDB,MG,camara,3.174709400308478,4.493685064736342,0.140708,1,2,0,3,0.3333333333333333
Afonso Florence,1160508,PT,BA,camara,-6.854015545309499,-6.4148096682061055,0.0686332,2,0,7,2,1
Afonso Hamm,1136811,PP,RS,camara,4.45616723626874,5.435949598866436,0.112052,3,17,0,20,0.15
Afonso Motta,1178835,PDT,RS,camara,-0.7098676929229129,-0.5402101621874866,0.0958537,2,19,0,21,0.09523809523809523
Aguinaldo Ribeiro,1160527,PP,PB,camara,5.518472207972938,5.542530534454318,0.318218,1,2,0,3,0.3333333333333333
Airton Faleiro,1204495,PT,PA,camara,-5.36004615143955,-7.798706970793458,0.0651654,3,0,18,3,1
Aj Albuquerque,1204549,PP,CE,camara,5.99447622696767,4.007644341273409,0.116073,2,17,0,19,0.10526315789473684
Alan Rick,1178836,DEM,AC,camara,3.5888998243279815,4.491276832019178,0.0526798,3,15,0,18,0.16666666666666666
Alceu Moreira,1160559,MDB,RS,camara,4.390474277201349,3.9770647376141266,0.114948,3,19,0,22,0.13636363636363635
Alcides Rodrigues,1204413,PATRIOTA,GO,camara,6.3353235100039775,4.2785196563836045,0.013946,2,18,0,20,0.1
Alê Silva,1204545,PSL,MG,camara,6.706612166731137,6.822273858418011,0,2,21,0,23,0.08695652173913043
Alencar Santana Braga,1204501,PT,SP,camara,-7.990575774197204,-5.78579061889435,0.091359,1,0,3,1,1
Alessandro Molon,1160511,PSB,RJ,camara,-3.0153705474707024,-7.358340047947766,0.35661,3,0,13,3,1
Alex Manente,1178972,CIDADANIA,SP,camara,2.136485375751631,3.4073490123129453,0.169907,1,0,0,1,1
Alex Santana,1204571,PDT,BA,camara,1.4002722621692758,-1.178082126473317,0,2,1,5,3,0.6666666666666666
Alexandre Frota,1204544,PSDB,SP,camara,1.350618805177767,-0.2799115588489638,0,2,14,0,16,0.125
Alexandre Leite,1160545,DEM,SP,camara,3.984909887977178,1.8769834667629581,0.0893462,1,14,0,15,0.06666666666666667
Alexandre Padilha,1204503,PT,SP,camara,-7.175689343733485,-9.071795978160024,0.0609657,3,0,12,3,1
Alexis Fonteyne,1204516,NOVO,SP,camara,6.139760885688734,7.091622457101362,0.0149032,2,15,0,17,0.11764705882352941
Alice Portugal,174057,PCdoB,BA,camara,-3.078276527877051,-6.615450277973972,0.23143,1,0,16,1,1
Aliel Machado,1178927,PSB,PR,camara,-1.846949833893122,-3.665227598078964,0.0915204,2,0,11,2,1
Aline Sleutjes,1204400,PSL,PR,camara,7.8164372992647415,3.303235274509838,0.041838,2,18,0,20,0.1
Altineu Côrtes,1178937,PL,RJ,camara,3.9997476698273715,0.6293586306393717,0.113817,2,9,0,11,0.18181818181818182
Aluisio Mendes,1178881,PSC,MA,camara,5.299096247497243,0.1657414939293762,0.013946,2,6,0,8,0.25
Amaro Neto,1204356,REPUBLICANOS,ES,camara,4.564248751279598,4.628697834548124,0.013946,3,20,0,23,0.13043478260869565
André Abdon,1178831,PP,AP,camara,8.201701649577053,5.861070914021436,0.0569207,1,13,0,14,0.07142857142857142
André De Paula,174471,PSD,PE,camara,4.485072492588733,3.48054028541039,0.442426,1,14,0,15,0.06666666666666667
André Ferreira,1204423,PSC,PE,camara,5.642179274926404,3.645331444163924,0.34277,0,11,0,11,0
André Figueiredo,1133439,PDT,CE,camara,-1.6197915932863456,-2.459714725467551,0.343945,2,0,5,2,1
André Fufuca,1178882,PP,MA,camara,5.422972696538844,3.9369997964962415,0.079785,0,4,0,4,0
André Janones,1204515,AVANTE,MG,camara,0.0967041403436113,-1.7540002592268475,0.0533296,7,12,0,19,0.3684210526315789
Angela Amin,173696,PP,SC,camara,2.9641577732148363,-1.5994210732562468,0.122094,8,11,0,19,0.42105263157894735
Aníbal Gomes,174212,DEM,CE,camara,6.76102617042212,5.628191261090903,0.122127,1,15,0,16,0.0625
Antonio Brito,1160553,PSD,BA,camara,3.2878403932072544,3.7342230506730782,0.298103,0,11,0,11,0
Arlindo Chinaglia,173433,PT,SP,camara,-6.644165225647144,-6.848096332749458,0.11675,2,0,2,2,1
Arnaldo Jardim,1141391,CIDADANIA,SP,camara,2.2299558540904094,1.3125415860930207,0.183891,3,17,0,20,0.15
Aroldo Martins,1204414,REPUBLICANOS,PR,camara,4.506865648155854,5.207271207268082,0,3,18,0,21,0.14285714285714285
Arthur Lira,1160541,PP,AL,camara,5.809136496230341,8.344254345385192,1,2,12,0,14,0.14285714285714285
Arthur Oliveira Maia,1160600,DEM,BA,camara,3.6317554170584376,1.7131197038840043,0.125014,2,11,0,13,0.15384615384615385
Átila Lins,174090,PP,AM,camara,5.094317794874,4.100741056022697,0.342149,0,16,0,16,0
Átila Lira,174459,PP,PI,camara,5.030936752719459,5.695851062968613,0.06973,3,20,0,23,0.13043478260869565
Augusto Coutinho,1160665,SOLIDARIEDADE,PE,camara,3.7213582217810632,4.227572384602931,0.37042,2,1,0,3,0.6666666666666666
Áurea Carolina,1204509,PSOL,MG,camara,-8.644086273652816,-4.15887260849675,0.0545451,2,0,9,2,1
Aureo Ribeiro,1160512,SOLIDARIEDADE,RJ,camara,2.9607770080724336,3.868221898772937,0.152461,1,6,0,7,0.14285714285714285
Bacelar,169871,PODE,BA,camara,-3.7018323486314175,-9.280761142192059,0.137997,17,2,2,19,0.8947368421052632
Baleia Rossi,1178975,MDB,SP,camara,4.422182560884556,6.446367724117753,0.570975,1,14,0,15,0.06666666666666667
Benedita Da Silva,173701,PT,RJ,camara,-4.337511536068922,-7.348814158852909,0.321146,1,0,0,1,1
Benes Leocádio,1109429,REPUBLICANOS,RN,camara,4.2193583196236695,4.3929255125791435,0.108779,1,0,0,1,1
Beto Faro,1141335,PT,PA,camara,-5.2335148689005955,-9.144658931482422,0.0893378,2,0,12,2,1
Beto Pereira,1204358,PSDB,MS,camara,3.0181291759408158,4.829570889137029,0.0835604,3,16,0,19,0.15789473684210525
Beto Rosado,1178948,PP,RN,camara,4.23326233786597,5.534295608353631,0.0551758,0,10,0,10,0
Bia Cavassa,1207176,PSDB,MS,camara,2.851077581897755,1.276999619296289,0.13338,3,20,0,23,0.13043478260869565
Bia Kicis,1204374,PSL,DF,camara,9.582992211728268,3.994249582852021,0.0669408,2,19,0,21,0.09523809523809523
Bibo Nunes,1204388,PSL,RS,camara,6.347936375808565,2.921590050618617,0,2,19,0,21,0.09523809523809523
Bilac Pinto,1141513,DEM,MG,camara,3.8866876943069855,1.2414409071638595,0.133313,3,16,0,19,0.15789473684210525
Bira Do Pindaré,1204561,PSB,MA,camara,-3.238488640226164,-3.98634502900903,0.0751856,3,0,16,3,1
Boca Aberta,1204397,PROS,PR,camara,0.9706334383389894,-1.7557865081236699,0.013946,9,10,0,19,0.47368421052631576
Bohn Gass,1160538,PT,RS,camara,-7.4215296650000715,-8.133571856697998,0.109612,3,0,10,3,1
Bosco Costa,174052,PL,SE,camara,5.901238609691777,5.335287335631387,0.100953,2,14,0,16,0.125
Bosco Saraiva,1204551,SOLIDARIEDADE,AM,camara,3.8290914915937684,1.9722990518795669,0.305874,3,15,0,18,0.16666666666666666
